TAZ,HU_SF,HU_MF,HU_OTH
1159,243.0,0.0,0.0
1160,135.0,0.0,9.0
1161,98.0,0.0,0.0
1162,151.0,0.0,0.0
1163,458.0,0.0,0.0
1164,758.0,0.0,0.0
1165,32.0,0.0,0.0
1166,0.0,0.0,1.0
1167,25.0,0.0,0.0
1168,103.0,0.0,0.0
1169,248.0,282.0,0.0
1170,316.0,0.0,230.0
1171,295.0,0.0,0.0
1172,488.0,0.0,246.0
1173,397.0,0.0,0.0
1174,425.0,0.0,0.0
1175,459.0,0.0,0.0
1176,23.0,0.0,0.0
1177,418.0,0.0,0.0
1178,0.0,0.0,0.0
1179,432.0,110.0,6.0
1180,597.0,43.0,27.0
1181,591.0,90.0,0.0
1182,275.0,65.0,0.0
1183,15.0,0.0,219.0
1184,526.0,0.0,0.0
1185,449.0,0.0,0.0
1186,477.0,0.0,0.0
1187,677.0,0.0,0.0
1188,1.0,0.0,1.0
1189,5.0,0.0,3.0
1190,0.0,0.0,0.0
1191,1.0,0.0,0.0
1192,131.0,41.0,0.0
1193,0.0,0.0,0.0
1194,0.0,0.0,0.0
1195,1.0,0.0,0.0
1196,0.0,0.0,0.0
1197,0.0,0.0,0.0
1198,0.0,0.0,0.0
1199,3.0,0.0,2.0
1200,16.0,2.0,1.0
1201,56.0,0.0,6.0
1202,10.0,0.0,0.0
1203,10.0,0.0,14.0
1204,10.0,0.0,0.0
1205,0.0,0.0,0.0
1206,1.0,0.0,0.0
1207,0.0,0.0,0.0
1208,0.0,0.0,0.0
1209,1.0,0.0,0.0
1210,3.0,0.0,0.0
1211,0.0,0.0,0.0
1212,26.0,0.0,11.0
1213,1.0,0.0,2.0
1214,0.0,0.0,0.0
1215,22.0,0.0,5.0
1216,18.0,0.0,4.0
1231,141.0,0.0,7.0
1232,8.0,0.0,0.0
1233,1.0,0.0,9.0
1234,10.0,0.0,0.0
1235,17.0,0.0,4.0
1236,7.0,0.0,0.0
1237,9.0,0.0,4.0
1238,0.0,0.0,0.0
1239,0.0,0.0,3.0
1240,6.0,0.0,0.0
1241,2.0,0.0,2.0
1242,15.0,0.0,3.0
1243,6.0,0.0,0.0
1244,20.0,0.0,0.0
1245,22.0,0.0,6.0
1246,44.0,0.0,0.0
1247,32.0,0.0,2.0
1248,58.0,0.0,2.0
1249,30.0,0.0,9.0
1250,57.0,0.0,0.0
1251,14.0,0.0,70.0
1252,44.0,0.0,19.0
1253,40.0,0.0,6.0
1254,37.0,0.0,39.0
1255,34.0,0.0,0.0
1256,41.0,0.0,0.0
1257,61.0,0.0,0.0
1258,27.0,0.0,1.0
1259,32.0,0.0,1.0
1260,1.0,0.0,0.0
1261,2.0,0.0,2.0
1262,7.0,0.0,3.0
1263,3.0,0.0,0.0
1264,4.0,0.0,0.0
1265,2.0,0.0,0.0
1266,4.0,0.0,0.0
1267,1.0,0.0,0.0
1268,4.0,0.0,2.0
1269,7.0,0.0,0.0
1270,4.0,0.0,0.0
1271,5.0,0.0,0.0
1272,3.0,0.0,1.0
1273,1.0,0.0,0.0
1274,1.0,0.0,0.0
1275,12.0,0.0,0.0
1276,8.0,0.0,2.0
1277,12.0,0.0,2.0
1278,2.0,0.0,1.0
1279,0.0,0.0,0.0
1280,2.0,0.0,4.0
1281,1.0,0.0,5.0
1282,9.0,0.0,1.0
1283,5.0,0.0,2.0
1284,5.0,0.0,0.0
1285,2.0,0.0,0.0
1286,0.0,0.0,0.0
1287,2.0,0.0,0.0
1288,2.0,0.0,0.0
1289,4.0,0.0,0.0
1290,10.0,0.0,0.0
1291,6.0,0.0,1.0
1292,0.0,0.0,0.0
1293,0.0,0.0,0.0
1294,0.0,0.0,0.0
1295,0.0,0.0,0.0
1296,3.0,0.0,0.0
1297,8.0,0.0,0.0
1298,5.0,0.0,0.0
1311,0.0,0.0,0.0
1312,0.0,0.0,0.0
1313,264.0,0.0,1.0
1314,0.0,0.0,0.0
1315,423.0,0.0,3.0
1316,21.0,0.0,0.0
1317,160.0,0.0,0.0
1318,0.0,0.0,178.0
1319,6.0,0.0,0.0
1320,2.0,0.0,1.0
1321,251.0,0.0,0.0
1322,14.0,0.0,0.0
