parcelid,xcoord_p,ycoord_p,sqft_p,taz_p,block_p,hh_p,stugrad_p,stuhgh_p,stuuni_p,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,emptot_p,parkdy_p,parkhr_p,ppricdyp,pprichrp
14387,6345823.56,2125208.53,267122.53,2505,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14388,6348008.67,2124015.55,12175878.44,2505,0,5,11,188,0,31.35130273970066,0.0,313.51302739700657,0.0,51.207127808177745,0.0,0.0,0.0,2.068378990555152,398.1398369354402,0,0,0,0
14389,6348298.86,2121492.3,14600625.63,2505,0,18,0,0,0,0.0,0.0,0.0,14.630607945193644,0.0,0.0,0.0,0.0,0.0,14.630607945193644,0,0,0,0
14390,6362089.77,2107830.37,2576555.97,459,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14391,6362060.93,2109152.16,974337.06,459,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14392,6363167.16,2109034.79,443056.58,459,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14393,6328518.32,2169677.1,221542.66,849,0,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14394,6329400.88,2169656.84,71075.28,849,0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14395,6328850.28,2170182.47,870924.46,849,0,0,642,0,0,72.41870876505999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.41870876505999,0,0,0,0
14396,6331264.04,2176958.47,176887.0,938,0,17,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0
14397,6331566.24,2177972.31,649267.35,938,0,9,0,0,0,0.0,53.0,0.0,0.0,0.0,377.0,0.0,0.0,0.0,430.0,0,0,0,0
14398,6330629.76,2177130.03,1949272.03,938,0,14,0,0,0,36.0,22.0,0.0,17.0,63.0,492.0,184.0,31.0,22.75216889610667,867.7521688961067,0,0,0,0
14399,6331211.01,2177602.84,277510.35,938,0,27,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0
14400,6331456.77,2177350.78,139030.64,938,0,15,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14401,6331259.09,2176041.95,345463.75,938,0,30,0,0,0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,12.0,0,0,0,0
14402,6331268.48,2176696.88,177934.75,938,0,17,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0
14403,6331269.05,2176435.61,176481.94,938,0,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14404,6330777.97,2174681.97,2636208.23,948,0,134,0,0,0,0.0,110.0,388.0,62.0,24.0,8.0,100.0,47.0,61.017180221376975,800.017180221377,0,0,0,0
14405,6331222.11,2174296.47,218187.96,948,0,20,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14406,6331213.17,2173640.13,218422.23,948,0,19,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.034189495277576,6.034189495277577,0,0,0,0
14407,6331215.41,2173968.01,218522.51,948,0,20,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0,0,0,0
14408,6331389.6,2173366.42,362823.66,948,0,17,0,0,0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,19.64960041027394,26.649600410273944,0,0,0,0
14409,6331621.2,2171351.11,197659.79,971,27029,84,0,0,0,0.48061548066258,2.83310178074784,0.31197846990378003,0.0,11.973053025877961,0.5227747333522801,2.31032704739556,0.0,0.0,18.43185053794,0,0,0,0
14410,6331467.05,2170824.58,382301.36,971,0,0,0,0,0,0.0,0.0,12.0,0.0,41.0,1.0,0.0,0.0,0.0,54.0,0,0,0,0
