; TAZ,COUNTY,CITY,TOTHH,TOTPOP,TOTEMP,EMPEDU,EMPFOO,EMPGOV,EMPIND,EMPMED,EMPOFC,EMPOTH,EMPRET,EMPAGR
260,Fresno,Unincorporated,60.0,177.0,10.034189495277577,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.034189495277576
261,Fresno,Unincorporated,123.0,345.0,12.17094747638788,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,5.170947476387878
262,Fresno,Unincorporated,57.0,218.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
263,Fresno,Unincorporated,391.0,1495.0,135.71797940082908,0.0,62.0,0.0,1.0,11.0,6.0,24.0,10.0,21.717979400829098
264,Fresno,Unincorporated,374.0,1227.0,50.0,0.0,0.0,0.0,28.0,3.0,8.0,7.0,4.0,0.0
265,Fresno,Unincorporated,352.0,1116.0,100.37608444805336,0.0,4.0,0.0,1.0,23.0,61.0,0.0,0.0,11.376084448053335
266,Fresno,Unincorporated,212.0,672.0,18.102568485832727,0.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,3.102568485832728
267,Fresno,Unincorporated,601.0,1554.0,46.516621532145145,0.28705079842252,0.27220334333170004,4.1617344576037185,6.0,17.187796407265598,16.31674570860416,0.0,0.2227118263623,2.068378990555152
268,Fresno,Unincorporated,576.0,1658.0,95.17094747638788,38.0,24.0,0.0,1.0,12.0,15.0,0.0,0.0,5.170947476387878
269,Fresno,Unincorporated,241.0,762.0,22.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0
270,Fresno,Unincorporated,236.0,696.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
271,Fresno,Unincorporated,107.0,339.0,23.0,0.0,2.0,0.0,15.0,4.0,2.0,0.0,0.0,0.0
272,Fresno,Unincorporated,45.0,118.0,67.15393820248728,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65.15393820248728
273,Fresno,Unincorporated,61.0,157.0,10.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0
274,Fresno,Unincorporated,532.0,1757.0,22.068378990555157,1.0,0.0,0.0,0.0,11.0,7.0,0.0,1.0,2.068378990555152
275,Fresno,Unincorporated,364.0,1224.0,38.17094747638788,0.0,19.0,0.0,6.0,4.0,4.0,0.0,0.0,5.170947476387878
276,Fresno,Unincorporated,19.0,62.0,3.068378990555152,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.068378990555152
277,Fresno,Unincorporated,585.0,1992.0,17.102568485832727,0.0,0.0,0.0,4.0,7.0,3.0,0.0,0.0,3.102568485832728
