TAZ,SOI,Base_EMP,transit_skim,IDX_Transit,sov_skim,IDX_SOV
992,Fresno,198.0,95339.0,0.7841634738186463,224033.82099260678,0.982429718875502
993,Fresno,25.0,130973.0,0.9706257982120051,228316.5263379973,0.9974899598393574
994,Fresno,2313.0,130437.0,0.9693486590038314,227287.06406662508,0.9959839357429718
995,Fresno,549.0,125820.0,0.9527458492975734,223667.62334070393,0.9804216867469879
996,Fresno,658.0,129083.0,0.9616858237547893,221381.04104585788,0.9578313253012049
997,Fresno,113.0,136829.0,0.9833971902937421,219600.18924859219,0.9382530120481928
998,Fresno,18.0,60308.0,0.565772669220945,218942.1568615436,0.9267068273092369
999,Fresno,65.0,68751.0,0.6309067688378033,215945.85521613952,0.9011044176706827
1000,Fresno,30.0,61084.0,0.5708812260536399,215802.47103855462,0.8995983935742972
1001,Fresno,583.0,38682.0,0.4163473818646232,210232.49685112186,0.8549196787148594
1002,Fresno,155.0,108909.0,0.8722860791826309,227355.74599852017,0.9964859437751004
1003,Fresno,0.0,68716.0,0.6296296296296297,220037.31133022907,0.9447791164658634
1004,Fresno,198.0,117987.0,0.9220945083014048,226752.74232636337,0.9949799196787149
1005,Fresno,28.0,129928.0,0.966794380587484,229323.76484270414,0.9984939759036144
1006,Fresno,321.0,134411.0,0.9808429118773946,226132.7332905478,0.9934738955823293
1007,Fresno,269.0,121671.0,0.9386973180076629,223995.08854440367,0.981425702811245
1008,Fresno,55.0,129651.0,0.9655172413793104,221061.20210883638,0.9553212851405622
1009,Fresno,112.0,136240.0,0.9821200510855683,219255.90304478514,0.9317269076305221
1010,Fresno,41.0,63689.0,0.5951468710089399,219795.3909059483,0.9412650602409639
1011,Fresno,337.0,63597.0,0.5938697318007663,217028.07193534714,0.910140562248996
1012,Fresno,330.0,49270.0,0.49808429118773945,215826.72044533913,0.9001004016064257
1013,Fresno,3861.0,35274.0,0.3933588761174968,213991.93679156312,0.8870481927710844
1014,Fresno,28.0,0.0,0.0,186721.95210296917,0.6255020080321285
1015,Fresno,278.0,21085.0,0.2937420178799489,192795.2339744199,0.6832329317269076
1016,Fresno,34.0,0.0,0.0,187601.00654589382,0.6360441767068273
1017,Fresno,32.0,0.0,0.0,185162.11625120864,0.6134538152610441
1018,Fresno,80.0,10494.0,0.17752234993614305,189078.65807392896,0.6475903614457831
1019,Fresno,90.0,0.0,0.0,185103.48737318622,0.6124497991967871
1020,Fresno,148.0,0.0,0.0,181243.1857926494,0.5773092369477911
1021,Fresno,2254.0,19109.0,0.2656449553001277,202250.0669602641,0.7776104417670683
1022,Fresno,2437.0,17489.0,0.25287356321839083,198908.29445650926,0.7404618473895582
1023,Fresno,272.0,13450.0,0.2081736909323116,191414.22230897134,0.6711847389558233
1024,Fresno,64.0,0.0,0.0,187518.84784986023,0.6355421686746988
1025,Fresno,48.0,0.0,0.0,182537.3542855552,0.5873493975903614
1026,Fresno,371.0,0.0,0.0,200977.93369547345,0.7605421686746988
1027,Fresno,0.0,0.0,0.0,193308.08373959968,0.6897590361445783
1028,Fresno,3.0,0.0,0.0,191970.11742919218,0.6772088353413654
1029,Fresno,17.0,0.0,0.0,188102.66992934095,0.6405622489959839
1030,Fresno,60.0,0.0,0.0,183643.97326598907,0.5998995983935743
1031,Fresno,0.0,5483.0,0.12260536398467432,202997.59939724102,0.785140562248996
1032,Fresno,0.0,0.0,0.0,198353.77392835857,0.7354417670682731
1033,Fresno,6.0,0.0,0.0,195635.83188719538,0.7093373493975904
1034,Fresno,251.0,0.0,0.0,191044.2417608172,0.6666666666666666
1035,Fresno,527.0,16194.0,0.24393358876117496,207964.20631118977,0.8363453815261044
1036,Fresno,6.0,22014.0,0.30395913154533843,207100.40574446446,0.8242971887550201
1037,Fresno,48.0,0.0,0.0,200517.77522549056,0.7555220883534136
1038,Fresno,8.0,0.0,0.0,202940.8662650757,0.7846385542168675
1039,Fresno,1.0,0.0,0.0,201268.8987389818,0.7645582329317269
1040,Fresno,2.0,0.0,0.0,203892.91506695852,0.7936746987951807
1041,Fresno,40.0,0.0,0.0,198377.87426737027,0.7359437751004017
1042,Fresno,46.0,0.0,0.0,192275.1564651221,0.6802208835341366
1043,,0.0,0.0,0.0,0.0,0.0
1044,,0.0,0.0,0.0,0.0,0.0
1045,,0.0,0.0,0.0,0.0,0.0
1046,,0.0,0.0,0.0,0.0,0.0
1047,,0.0,0.0,0.0,0.0,0.0
1048,,0.0,0.0,0.0,0.0,0.0
1049,,0.0,0.0,0.0,0.0,0.0
1050,,0.0,0.0,0.0,0.0,0.0
1051,,0.0,0.0,0.0,0.0,0.0
1052,,0.0,0.0,0.0,0.0,0.0
1053,,0.0,0.0,0.0,0.0,0.0
1054,,0.0,0.0,0.0,0.0,0.0
1055,,0.0,0.0,0.0,0.0,0.0
1056,,0.0,0.0,0.0,0.0,0.0
1057,,0.0,0.0,0.0,0.0,0.0
1058,,0.0,0.0,0.0,0.0,0.0
1059,,0.0,0.0,0.0,0.0,0.0
1060,,0.0,0.0,0.0,0.0,0.0
1061,Fresno,58.0,122466.0,0.9438058748403576,225260.46562010725,0.9899598393574297
1062,Fresno,269.0,123848.0,0.9489144316730523,223566.61708325095,0.9789156626506024
1063,Fresno,218.0,127651.0,0.9591315453384419,220584.95483533212,0.9497991967871486
1064,Fresno,104.0,132377.0,0.9757343550446999,221130.564095202,0.9568273092369478
1065,Fresno,351.0,95516.0,0.7879948914431673,219286.09697764824,0.9332329317269076
1066,Fresno,1170.0,90844.0,0.7509578544061303,217678.91959186288,0.9156626506024096
1067,Fresno,204.0,68073.0,0.6206896551724138,214249.32168838283,0.8895582329317269
1068,Fresno,254.0,43919.0,0.44572158365261816,209891.75701760378,0.8504016064257028
1069,Fresno,973.0,43267.0,0.44189016602809705,207855.9590624477,0.8348393574297188
1070,Fresno,1209.0,7282.0,0.14559386973180077,204650.58134569923,0.8042168674698795
1071,Fresno,13.0,129532.0,0.9642401021711366,225889.658674869,0.9929718875502008
1072,Fresno,70.0,127434.0,0.9578544061302682,223634.95676952877,0.9799196787148594
1073,Fresno,24.0,125234.0,0.9514687100893997,220769.01624300636,0.9533132530120482
1074,Fresno,11.0,133305.0,0.9782886334610472,222205.6604570325,0.9678714859437751
1075,Fresno,11.0,130330.0,0.9680715197956578,221097.4810410861,0.9558232931726908
1076,Fresno,22.0,108968.0,0.8735632183908046,219301.57647972985,0.9342369477911646
1077,Fresno,248.0,93419.0,0.7726692209450831,216226.13907054454,0.9041164658634538
1078,Fresno,21.0,81195.0,0.6934865900383141,217138.63912596236,0.911144578313253
1079,Fresno,56.0,61358.0,0.5747126436781609,212533.93527263813,0.873995983935743
1080,Fresno,139.0,38392.0,0.41379310344827586,212076.0796160865,0.8684738955823293
1081,Fresno,15.0,17815.0,0.2541507024265645,208185.2411537494,0.8378514056224899
1082,Fresno,189.0,115025.0,0.9067688378033205,224296.14557873638,0.9844377510040161
1083,Fresno,142.0,108108.0,0.8684546615581098,221471.46502397576,0.9583333333333334
1084,Fresno,72.0,120238.0,0.933588761174968,218461.34944402767,0.9216867469879518
1085,Fresno,148.0,119698.0,0.929757343550447,217892.95758354943,0.9181726907630522
1086,Fresno,151.0,86740.0,0.7177522349936143,214431.0417045902,0.8910642570281124
1087,Fresno,45.0,50461.0,0.5044699872286079,213894.0471348478,0.8850401606425703
1088,Fresno,179.0,61937.0,0.5810983397190294,209658.32494684527,0.8473895582329317
