parcelid,SOI,COMMUNITY,TAZ,HU_NET,EMP_NET,TOTAL_SCORE,TAZ_HU_Target,TAZ_EMP_Target,SOI_HU_P,SOI_EMP_P,DEV,DEV_TAZ,DEV_SOI,SOI_HU_Target,SOI_EMP_Target
407322,Clovis, ,275,0.35895520176,0.0,6.132904507088179,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407325,Clovis, ,275,0.8838307185600001,0.0,6.132904507088179,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407326,Clovis, ,275,3.03999670768,0.0,6.132904507088179,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407330,Clovis, ,275,1.4405015892800002,0.0,6.132904507088179,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407331,Clovis, ,275,1.3986989718399998,0.0,6.132904507088179,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407332,Clovis, ,275,1.00746608064,0.0,6.132904507088179,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407136,Clovis, ,258,0.25263452928,0.0,6.106255128787623,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
18160,Clovis, ,176,8.694847912519997,1.7999599613599997,6.0691630226740765,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407323,Clovis, ,275,0.39965335984,0.0,5.995823698440382,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407324,Clovis, ,275,0.31669286640000005,0.0,5.995823698440382,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407327,Clovis, ,275,3.03999670768,0.0,5.995823698440382,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
407328,Clovis, ,275,2.2291349905600004,0.0,5.995823698440382,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
