MAZ,TAZ,SOI,bike_skim,IDX_Bike
8297,1973,Selma,2721.0,0.7676098735701384
8298,1973,Selma,3026.0,0.7923239012642986
8299,1973,Selma,809.0,0.49825406381697773
8300,1973,Selma,2574.0,0.7558398555087297
8301,1973,Selma,3031.0,0.7927453341360626
8302,1973,Selma,2845.0,0.7787176399759181
8303,1973,Selma,2373.0,0.7364238410596027
8304,1973,Selma,2588.0,0.7567730282962071
8305,1973,Selma,2474.0,0.7460866947621915
8306,1973,Selma,789.0,0.4953040337146297
8307,1973,Selma,937.0,0.5214027694160145
8308,1632,Kingsburg,673.0,0.46983744732089106
8309,1632,Kingsburg,28.0,0.15755568934376882
8310,1632,Kingsburg,480.0,0.41760987357013846
8311,1632,Kingsburg,1268.0,0.5818181818181818
8312,1632,Kingsburg,775.0,0.49214328717639977
8313,1632,Kingsburg,899.0,0.5152618904274533
8314,1631,Kingsburg,452.0,0.4102347983142685
8315,1631,Kingsburg,991.0,0.5319084888621313
8316,1631,Kingsburg,765.0,0.4895544852498495
8317,1631,Kingsburg,775.0,0.49214328717639977
8318,1635,Kingsburg,1013.0,0.53524984948826
8319,1635,Kingsburg,1027.0,0.5375677302829621
8320,1635,Kingsburg,1065.0,0.545153521974714
8321,1635,Kingsburg,25.0,0.14864539434075857
8322,1635,Kingsburg,836.0,0.5034918723660445
8323,1633,Kingsburg,330.0,0.3720048163756773
8324,1633,Kingsburg,1115.0,0.5537326911499096
8325,1633,Kingsburg,833.0,0.5026490066225165
8326,1633,Kingsburg,706.0,0.475948223961469
8327,1633,Kingsburg,330.0,0.3720048163756773
8328,1633,Kingsburg,403.0,0.3933172787477423
8329,1633,Kingsburg,317.0,0.3681216134858519
8330,1633,Kingsburg,561.0,0.43982540638169776
8331,1633,Kingsburg,973.0,0.5288380493678507
8332,1633,Kingsburg,272.0,0.3539434075857917
8333,1633,Kingsburg,270.0,0.35316074653823
8334,1633,Kingsburg,339.0,0.3743829018663456
8335,1633,Kingsburg,302.0,0.36351595424443106
8336,1633,Kingsburg,47.0,0.19861529199277544
8337,1633,Kingsburg,308.0,0.36499096929560504
8338,1633,Kingsburg,467.0,0.4140878988561108
8339,1633,Kingsburg,667.0,0.4684226369656833
8340,1638,Kingsburg,2868.0,0.7804936785069235
8341,1638,Kingsburg,1795.0,0.6645695364238411
8342,1638,Kingsburg,2685.0,0.7652016857314871
8343,1638,Kingsburg,2557.0,0.7541541240216737
8344,1638,Kingsburg,2654.0,0.7622516556291391
8345,1638,Kingsburg,2021.0,0.6944310656231186
8346,1638,Kingsburg,2873.0,0.7807947019867549
8347,1638,Kingsburg,3182.0,0.8043046357615894
8348,1638,Kingsburg,2830.0,0.7773630343166767
8349,1638,Kingsburg,2863.0,0.7803431667670079
8350,1638,Kingsburg,2567.0,0.7548765803732691
8351,1638,Kingsburg,2609.0,0.7582781456953642
8352,1638,Kingsburg,2782.0,0.7736604455147501
8353,1638,Kingsburg,2729.0,0.7680915111378688
8354,1638,Kingsburg,2818.0,0.7766405779650812
8355,1638,Kingsburg,2030.0,0.6956050571944612
8356,1639,Kingsburg,1868.0,0.6748344370860927
8357,1639,Kingsburg,2134.0,0.7103251053582179
8358,1639,Kingsburg,2092.0,0.7046658639373872
8359,1639,Kingsburg,2255.0,0.7253461770018061
8360,1639,Kingsburg,1314.0,0.590487658037327
8361,1639,Kingsburg,2828.0,0.7772426249247442
8362,1634,Kingsburg,231.0,0.3383503913305238
8363,1634,Kingsburg,236.0,0.34151113786875376
8364,1634,Kingsburg,55.0,0.21559301625526792
8365,1634,Kingsburg,78.0,0.24370860927152319
8366,1634,Kingsburg,530.0,0.4327814569536424
8367,1634,Kingsburg,551.0,0.4373269114990969
8368,1634,Kingsburg,217.0,0.3329319686935581
8369,1634,Kingsburg,334.0,0.37338952438290185
8370,1634,Kingsburg,90.0,0.2554184226369657
8371,1634,Kingsburg,247.0,0.34629741119807345
8372,1634,Kingsburg,232.0,0.3388621312462372
8373,1634,Kingsburg,235.0,0.34108970499698976
8374,1634,Kingsburg,364.0,0.38142685129440096
8375,1634,Kingsburg,264.0,0.3513546056592414
8376,1634,Kingsburg,207.0,0.32832630945213725
8377,1634,Kingsburg,275.0,0.35463576158940396
8378,1634,Kingsburg,254.0,0.3488260084286574
8379,1634,Kingsburg,107.0,0.27092113184828415
8380,1634,Kingsburg,501.0,0.423841059602649
8381,1634,Kingsburg,80.0,0.24530403371462975
8382,1634,Kingsburg,237.0,0.34166164960866946
8383,1640,Kingsburg,1324.0,0.5929861529199277
8384,1640,Kingsburg,182.0,0.3169175195665262
8385,1640,Kingsburg,370.0,0.38311258278145693
8386,1640,Kingsburg,227.0,0.33558097531607467
8387,1640,Kingsburg,1221.0,0.5744130042143287
8388,1640,Kingsburg,320.0,0.36902468392534615
8389,1640,Kingsburg,263.0,0.35102347983142684
8390,1640,Kingsburg,216.0,0.33245033112582784
8391,1640,Kingsburg,203.0,0.3267308850090307
8392,1640,Kingsburg,1362.0,0.6003010234798314
8393,2548,Unincorporate,173.0,0.3106562311860325
8394,2548,Unincorporate,2.0,0.021763997591812162
8395,1648,Kingsburg,2657.0,0.7624021673690548
8396,1648,Kingsburg,632.0,0.46047561709813367
8397,1648,Kingsburg,631.0,0.4600842865743528
8398,1648,Kingsburg,547.0,0.4365442504515352
8399,1648,Kingsburg,555.0,0.4382299819385912
8400,1648,Kingsburg,861.0,0.50948223961469
8401,1643,Kingsburg,2977.0,0.7884406983744732
8402,1643,Kingsburg,2943.0,0.7856110776640578
8403,1643,Kingsburg,3355.0,0.8165562913907285
8404,1643,Kingsburg,2953.0,0.7863636363636364
8405,1643,Kingsburg,1359.0,0.5993979530403372
8406,1643,Kingsburg,2546.0,0.7530704394942805
8407,1643,Kingsburg,3105.0,0.7990066225165563
8408,1643,Kingsburg,2379.0,0.7370258880192655
8409,1643,Kingsburg,1655.0,0.6455147501505117
8410,1643,Kingsburg,2943.0,0.7856110776640578
8411,1643,Kingsburg,2448.0,0.7437086092715232
8412,1643,Kingsburg,2903.0,0.7832329921733895
8413,1643,Kingsburg,2888.0,0.7816074653822999
8414,1643,Kingsburg,2888.0,0.7816074653822999
8415,1649,Kingsburg,2630.0,0.7598735701384708
8416,1649,Kingsburg,846.0,0.5065021071643588
8417,1649,Kingsburg,773.0,0.4917519566526189
8418,1649,Kingsburg,499.0,0.4233895243829019
8419,1649,Kingsburg,503.0,0.4243829018663456
8420,1649,Kingsburg,2080.0,0.7031005418422637
8421,1649,Kingsburg,895.0,0.5144190246839253
8422,1649,Kingsburg,1181.0,0.5673991571342565
8423,1649,Kingsburg,508.0,0.42576760987357015
8424,1649,Kingsburg,776.0,0.49250451535219747
8425,1647,Kingsburg,2148.0,0.7124021673690548
8426,1647,Kingsburg,2137.0,0.7108368452739313
8427,1647,Kingsburg,779.0,0.49316676700782663
8428,1647,Kingsburg,23.0,0.14145093317278748
8429,2111,Unincorporate,48.0,0.200632149307646
8430,2111,Unincorporate,11.0,0.08383503913305237
8431,2111,Unincorporate,34.0,0.17146297411198075
8432,2111,Unincorporate,48.0,0.200632149307646
8433,2111,Unincorporate,34.0,0.17146297411198075
8434,2111,Unincorporate,48.0,0.200632149307646
8435,2112,Unincorporate,53.0,0.21080674292594823
8436,2112,Unincorporate,48.0,0.200632149307646
8437,2112,Unincorporate,31.0,0.1650812763395545
8438,2112,Unincorporate,45.0,0.1942203491872366
8439,2112,Unincorporate,33.0,0.16887417218543047
8440,2807,Unincorporate,0.0,0.0
8441,2807,Unincorporate,40.0,0.18552077062010836
8442,2807,Unincorporate,2.0,0.021763997591812162
8443,2807,Unincorporate,0.0,0.0
8444,2807,Unincorporate,0.0,0.0
8445,2807,Unincorporate,0.0,0.0
8446,2807,Unincorporate,0.0,0.0
8447,2802,Unincorporate,78.0,0.24370860927152319
8448,2802,Unincorporate,0.0,0.0
8449,2802,Unincorporate,3.0,0.033564118001204096
8450,2802,Unincorporate,318.0,0.36842263696568334
8451,2802,Unincorporate,0.0,0.0
8452,2802,Fresno,94.0,0.2590307043949428
8453,2802,Unincorporate,54.0,0.21351595424443107
8454,2802,Fresno,7.0,0.06303431667670079
8455,1524,Fresno,568.0,0.441782059000602
8456,2806,Unincorporate,0.0,0.0
8457,2806,Unincorporate,0.0,0.0
8458,2806,Unincorporate,20.0,0.1290487658037327
8459,2806,Unincorporate,6.0,0.05770620108368453
8460,2806,Unincorporate,84.0,0.24909692956050572
8461,2806,Unincorporate,66.0,0.2300421432871764
8462,2806,Unincorporate,43.0,0.19039735099337748
8463,2806,Unincorporate,0.0,0.0
8464,2806,Unincorporate,0.0,0.0
8465,1448,Fresno,1629.0,0.6425647200481638
8466,1448,Fresno,1611.0,0.6403070439494281
8467,1448,Fresno,881.0,0.5126128838049367
8468,1448,Fresno,1145.0,0.5589704996989765
8469,1448,Fresno,1136.0,0.5572847682119205
8470,241,Clovis,1179.0,0.5668272125225767
8471,2771,Clovis,11.0,0.08383503913305237
8472,2771,Unincorporate,123.0,0.2817278747742324
8473,2771,Clovis,105.0,0.26878386514148106
8474,2771,Unincorporate,38.0,0.18133654425045154
8475,2771,Unincorporate,59.0,0.2213726670680313
8476,2771,Unincorporate,16.0,0.10885009030704396
8477,2771,Unincorporate,110.0,0.2722757375075256
8478,2771,Unincorporate,216.0,0.33245033112582784
8479,2784,Unincorporate,4.0,0.04298615291992775
8480,2784,Clovis,0.0,0.0
8481,2711,Unincorporate,76.0,0.24211318482841662
8482,2711,Unincorporate,5.0,0.050752558699578565
8483,2711,Unincorporate,7.0,0.06303431667670079
8484,2711,Unincorporate,8.0,0.06815171583383504
8485,2711,Unincorporate,0.0,0.0
8486,2711,Unincorporate,12.0,0.08880192655027092
8487,2711,Unincorporate,0.0,0.0
8488,2711,Unincorporate,47.0,0.19861529199277544
8489,2711,Unincorporate,107.0,0.27092113184828415
8490,2711,Unincorporate,83.0,0.248103552077062
8491,2711,Unincorporate,2.0,0.021763997591812162
8492,2711,Unincorporate,47.0,0.19861529199277544
8493,2711,Unincorporate,4.0,0.04298615291992775
8494,2711,Unincorporate,153.0,0.30090307043949427
