TAZ,SOI,POP,HH,HU,HU_SF,HU_MF,HU_OTH,EMP,EMP_EDU,EMP_FOO,EMP_GOV,EMP_IND,EMP_MED,EMP_OFC,EMP_OTH,EMP_RET,EMP_AGR,ELEM,HS,COLLEGE
201,Clovis,2229,699,700.4274028641601,527.0,173.42740286416,0.0,127.16244283943757,0.0,0.0,0.0,0.0,40.0,3.0,39.0,10.0,35.16244283943758,0,0,0
202,Clovis,903,322,322.3745002096,322.3745002096,0.0,0.0,7.5741845984000005,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.5741845984000005,0.0,0,0,0
203,Clovis,926,399,400.34169078907996,400.34169078907996,0.0,0.0,843.1799649557673,0.0,0.0,0.0,76.0,1.0,382.0,12.0,34.0,338.17996495576733,0,0,0
204,Clovis,1580,468,536.6894616601601,536.6894616601601,0.0,0.0,361.1709474763879,0.0,165.0,0.0,0.0,15.0,1.0,32.0,143.0,5.170947476387879,0,0,0
205,Clovis,1359,393,393.30939454854,359.4615154707034,33.02734725519172,0.8205318226448985,176.75129234444,42.04282366363308,15.25243422773184,0.02779781674428,4.0,57.17580240859896,28.04658012535528,7.0,23.20585410237656,0.0,660,0,0
206,Clovis,1101,314,314.0,314.0,0.0,0.0,120.64109577332366,0.0,0.0,0.0,26.0,40.0,4.0,1.0,0.0,49.64109577332364,0,0,0
207,Clovis,1968,532,532.0,484.0,48.0,0.0,38.17094747638788,15.0,0.0,0.0,2.0,11.0,5.0,0.0,0.0,5.170947476387879,0,0,0
208,Clovis,1332,443,444.0,444.0,0.0,0.0,23.273515962220607,0.0,2.0,0.0,0.0,9.0,2.0,0.0,2.0,8.273515962220607,0,0,0
209,Clovis,481,137,137.0,137.0,0.0,0.0,28.47865293388606,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.478652933886062,0,0,0
210,Clovis,235,67,67.0,67.0,0.0,0.0,84.10256848583273,0.0,76.0,0.0,0.0,2.0,0.0,0.0,3.0,3.1025684858327276,0,0,0
211,Clovis,833,308,313.0,313.0,0.0,0.0,111.37608444805335,45.0,15.0,0.0,0.0,15.0,0.0,0.0,25.0,11.376084448053334,613,0,0
212,Clovis,897,311,379.0,368.0,0.0,11.0,839.2223171930424,0.0,0.0,0.0,418.0,109.0,52.0,193.0,0.0,67.22231719304243,0,0,0
213,Clovis,1150,401,489.0,489.0,0.0,0.0,20.0677679936,0.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0677679936,0.0,0,0,0
214,Clovis,873,342,347.02568738112,347.02568738112,0.0,0.0,61.53806457216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53806457216,0.0,0,0,0
215,Clovis,3,1,1.0,1.0,0.0,0.0,940.0374064464776,0.0,44.0,0.0,245.0,0.0,275.0,29.0,311.87496360704,35.162442839437574,0,0,0
241,Clovis,481,181,187.8896267104,0.0,187.8896267104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
242,Clovis,1351,508,526.44732990845,275.7722301001236,250.67509980832642,0.0,85.69259884313516,4.76658053159706,28.097737870466883,3.0940961345454605,0.0,19.568067445503722,5.18470163085996,0.0,22.913036239606924,2.0683789905551517,0,0,0
243,Clovis,198,68,73.35707653044,73.35707653044,0.0,0.0,12.341894952775759,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.341894952775759,0,0,0
244,Clovis,30,10,10.0,10.0,0.0,0.0,25.034189495277577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0341894952775759,0,0,0
245,Clovis,692,258,267.75882220325,127.04559278245459,140.7132294207954,0.0,461.12870893440794,2.6458671157016993,15.596690366241601,1.7174926891397004,0.0,10.861980790775402,2.8779607223422,0.0,12.718729643899403,414.70998760630795,0,0,0
246,Clovis,792,298,308.73929352148,183.84237442260095,124.89691909887902,0.0,42.08435662904,2.3988083278552805,14.14034382735744,1.5571211952744806,0.0,9.84773945119536,2.60923011100048,0.0,11.531113716356959,0.0,0,0,0
247,Clovis,9,3,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,0
248,Clovis,35,13,12.914715000080001,8.360710905082732,4.551980400623575,0.002023694373694886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
249,Clovis,894,337,349.5566196339199,349.5566196339199,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0
250,Clovis,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
251,Clovis,876,330,342.15303120466996,230.013689088929,112.13934211574094,0.0,25.172503394939998,1.4348326935115798,8.457961140699839,0.9313826256127802,0.0,5.89036579441596,1.56069521048628,0.0,6.8972659302135595,0.0,0,0,0
252,Clovis,1028,348,372.95729112412,372.95729112412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
253,Clovis,1531,614,638.0,638.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,19.0,2.0,0.0,0.0,0.0,0,0,0
254,Clovis,2052,553,621.0,621.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,16.0,4.0,3.0,6.0,0.0,0,0,0
255,Clovis,1329,425,466.0,466.0,0.0,0.0,71.30770545749819,39.0,3.0,0.0,1.0,10.0,9.0,0.0,0.0,9.307705457498184,723,0,0
256,Clovis,1254,403,432.74845766942,432.74845766942,0.0,0.0,35.0,0.0,1.0,0.0,12.0,5.0,14.0,2.0,1.0,0.0,0,0,0
257,Clovis,595,190,209.09930004644,209.09930004644,0.0,0.0,56.03418949527757,0.0,43.0,0.0,0.0,1.0,9.0,1.0,1.0,1.0341894952775759,0,0,0
258,Clovis,1024,256,256.48066333322004,256.48066333322004,0.0,0.0,86.4444634386085,0.0,0.0,0.0,65.0,3.0,1.0,4.0,0.0,13.444463438608487,0,0,0
259,Clovis,692,221,247.0,247.0,0.0,0.0,12.136757981110303,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,4.1367579811103035,0,0,0
260,Clovis,177,60,64.5344654839,64.5344654839,0.0,0.0,10.034189495277577,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0341894952775759,0,0,0
261,Clovis,345,123,130.66350898324,115.36612941402144,11.828266564686777,3.4691130045318026,12.17094747638788,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,5.170947476387879,0,0,0
262,Clovis,218,57,57.2259208674,57.2259208674,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0,0,0
263,Clovis,1495,391,404.0,404.0,0.0,0.0,135.7179794008291,0.0,62.0,0.0,1.0,11.0,6.0,24.0,10.0,21.717979400829094,0,0,0
264,Clovis,1227,374,423.0,423.0,0.0,0.0,50.0,0.0,0.0,0.0,28.0,3.0,8.0,7.0,4.0,0.0,0,0,0
265,Clovis,1116,352,372.0,372.0,0.0,0.0,100.37608444805335,0.0,4.0,0.0,1.0,23.0,61.0,0.0,0.0,11.376084448053335,0,0,0
266,Clovis,672,212,224.0,224.0,0.0,0.0,18.102568485832727,0.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,3.1025684858327276,0,0,0
267,Clovis,1554,601,619.94140755419,619.0,0.9414075541900001,0.0,46.51662153214515,0.28705079842252,0.27220334333170004,4.161734457603719,6.0,17.1877964072656,16.31674570860416,0.0,0.22271182636230002,2.0683789905551517,0,0,0
268,Clovis,1658,576,600.0,600.0,0.0,0.0,95.17094747638788,38.0,24.0,0.0,1.0,12.0,15.0,0.0,0.0,5.170947476387879,837,0,0
269,Clovis,762,241,254.0,254.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0,0,0
270,Clovis,696,236,250.0,250.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0
271,Clovis,339,107,113.0,113.0,0.0,0.0,23.0,0.0,2.0,0.0,15.0,4.0,2.0,0.0,0.0,0.0,0,0,0
272,Clovis,118,45,45.47381537352,45.47381537352,0.0,0.0,67.15393820248728,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65.15393820248728,0,0,0
273,Clovis,157,61,60.74457227616,60.74457227616,0.0,0.0,10.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0,0,0
274,Clovis,1757,532,532.0,532.0,0.0,0.0,22.068378990555154,1.0,0.0,0.0,0.0,11.0,7.0,0.0,1.0,2.0683789905551517,0,0,0
275,Clovis,1224,364,364.21349775936,361.30474118985387,2.2491138381068634,0.6596427313992962,38.17094747638788,0.0,19.0,0.0,6.0,4.0,4.0,0.0,0.0,5.170947476387879,0,0,0
276,Clovis,62,19,19.65734199008,19.65734199008,0.0,0.0,3.0683789905551517,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0683789905551517,0,0,0
